XH,CJTS,YT,CJMJ,YF
41,388,商业,38226.41,2019-01
42,3881,住宅,330982.18,2019-01
43,96,其他,149223.99,2019-01
44,123,办公,15116.01,2019-01
45,117,商业,6811.73,2019-02
46,1997,住宅,168220.34,2019-02
47,47,其他,3965.5,2019-02
48,48,办公,6423.6,2019-02
49,272,商业,18622.65,2019-03
50,4551,住宅,370704,2019-03
51,125,其他,10415.91,2019-03
52,85,办公,8647.12,2019-03
53,438,商业,29727.71,2019-04
54,7570,住宅,610832.84,2019-04
55,164,其他,16497.55,2019-04
56,124,办公,11353.24,2019-04
57,373,商业,23325.93,2019-05
58,7363,住宅,606309.04,2019-05
59,179,其他,24603.78,2019-05
60,122,办公,13461.42,2019-05
61,319,商业,21752.87,2019-06
62,5798,住宅,476649.13,2019-06
63,158,其他,14280.47,2019-06
64,100,办公,8750.98,2019-06
65,381,商业,26210.92,2019-07
66,7048,住宅,593045.93,2019-07
67,151,其他,16926.32,2019-07
68,126,办公,13227.34,2019-07
81,363,商业,21710.55,2019-11
82,8013,住宅,662623.26,2019-11
83,156,其他,11439.15,2019-11
84,97,办公,13380.25,2019-11
85,393,商业,27280.01,2019-12
86,9959,住宅,829203.3,2019-12
87,193,其他,12351.59,2019-12
88,119,办公,15734.91,2019-12
97,237,商业,16506.19,2020-03
98,8008,住宅,679544.78,2020-03
99,142,其他,11998.15,2020-03
100,75,办公,8466.67,2020-03
101,292,商业,23852.78,2020-04
102,7679,住宅,659415.42,2020-04
103,284,其他,20668.63,2020-04
104,92,办公,16575.87,2020-04
137,781,商业,44025.5,2018-01
138,21,商业,2544.92,2018-01
139,107,商业,6010.65,2018-01
140,140,商业,4620.47,2018-01
141,153,商业,11307.79,2018-01
142,307,商业,15440.51,2018-01
143,53,商业,4101.16,2018-01
144,117,住宅,9848.05,2018-01
145,6260,住宅,526231.81,2018-01
146,1095,住宅,97933.87,2018-01
147,997,住宅,68584.98,2018-01
148,1501,住宅,133700.5,2018-01
149,1225,住宅,97534.93,2018-01
150,1325,住宅,118629.48,2018-01
151,35,其他,13938.38,2018-01
152,60,其他,4243.35,2018-01
153,6,其他,518.03,2018-01
154,39,其他,4003.43,2018-01
155,4,其他,690.4,2018-01
156,173,其他,26064.72,2018-01
157,29,其他,2671.13,2018-01
158,14,办公,767.75,2018-01
159,39,办公,5120.09,2018-01
160,12,办公,511.51,2018-01
161,32,办公,2893.13,2018-01
162,20,办公,4289.88,2018-01
163,117,办公,13582.36,2018-01
164,206,商业,12384.04,2018-02
165,9,商业,731.49,2018-02
166,56,商业,1413.81,2018-02
167,47,商业,1573.3,2018-02
168,42,商业,3084.88,2018-02
169,33,商业,4343.14,2018-02
170,19,商业,1237.42,2018-02
171,58,住宅,4572.82,2018-02
172,3133,住宅,261758.16,2018-02
173,534,住宅,48263.35,2018-02
174,531,住宅,36830.33,2018-02
175,735,住宅,61301.3,2018-02
176,653,住宅,54127.84,2018-02
177,622,住宅,56662.52,2018-02
178,15,其他,2833.82,2018-02
179,13,其他,1776.38,2018-02
180,13,其他,51937.56,2018-02
181,4,其他,470.82,2018-02
182,78,其他,62886.39,2018-02
183,16,其他,2520.83,2018-02
184,17,其他,3346.98,2018-02
185,2,办公,90.58,2018-02
186,12,办公,1614.86,2018-02
187,6,办公,237.46,2018-02
188,8,办公,1302.2,2018-02
189,28,办公,3245.1,2018-02
190,14,商业,2456.63,2018-03
191,81,商业,4371.51,2018-03
192,44,商业,2090.82,2018-03
193,89,商业,5804.91,2018-03
194,147,商业,8199.56,2018-03
195,57,商业,4319.75,2018-03
196,432,商业,27243.18,2018-03
197,113,住宅,8836.9,2018-03
198,971,住宅,86979.74,2018-03
199,991,住宅,67457.55,2018-03
200,1226,住宅,102217.87,2018-03
201,1100,住宅,89809.51,2018-03
202,1221,住宅,106203.63,2018-03
203,5622,住宅,461505.2,2018-03
204,6,其他,1950.76,2018-03
205,16,其他,2069.25,2018-03
206,11,其他,1118.34,2018-03
207,43,其他,2785.7,2018-03
208,15,其他,2952.99,2018-03
209,32,其他,2930.22,2018-03
210,123,其他,13807.26,2018-03
211,1,办公,232.23,2018-03
212,10,办公,3508.76,2018-03
213,21,办公,2027.01,2018-03
214,11,办公,469.31,2018-03
215,36,办公,4928.53,2018-03
216,20,办公,1564.84,2018-03
217,99,办公,12730.68,2018-03
218,470,商业,32465.49,2018-04
219,11,商业,1020.09,2018-04
220,54,商业,3969.57,2018-04
221,67,商业,2911.92,2018-04
222,105,商业,7072.01,2018-04
223,157,商业,9866.75,2018-04
224,76,商业,7625.15,2018-04
225,125,住宅,9731.96,2018-04
226,5897,住宅,479945.64,2018-04
227,1053,住宅,92312.5,2018-04
228,949,住宅,64292.32,2018-04
229,1394,住宅,114266.1,2018-04
230,1145,住宅,92129.53,2018-04
231,1231,住宅,107213.23,2018-04
232,26,其他,1561.27,2018-04
233,38,其他,2047.31,2018-04
234,17,其他,3199.51,2018-04
235,28,其他,2879.8,2018-04
236,5,其他,730.33,2018-04
237,135,其他,12737.6,2018-04
238,21,其他,2319.38,2018-04
239,13,办公,997.31,2018-04
240,22,办公,2665.38,2018-04
241,13,办公,584.79,2018-04
242,29,办公,2654.75,2018-04
243,9,办公,1352.27,2018-04
244,86,办公,8254.5,2018-04
245,634,商业,37138.86,2018-05
246,25,商业,2897.63,2018-05
247,68,商业,3107.78,2018-05
248,90,商业,7105.98,2018-05
249,117,商业,6860.82,2018-05
250,254,商业,11272.34,2018-05
251,80,商业,5894.31,2018-05
252,122,住宅,9095.09,2018-05
253,6683,住宅,540552.74,2018-05
254,1194,住宅,105876.5,2018-05
255,1111,住宅,73815.27,2018-05
256,1591,住宅,133012.92,2018-05
257,1334,住宅,106394.93,2018-05
258,1331,住宅,112358.03,2018-05
259,32,其他,1922.08,2018-05
260,57,其他,5086.23,2018-05
261,12,其他,910.68,2018-05
262,24,其他,3085.21,2018-05
263,3,其他,586.95,2018-05
264,154,其他,14800.77,2018-05
265,26,其他,3209.62,2018-05
266,4,办公,397.47,2018-05
267,86,办公,11104.74,2018-05
268,16,办公,813.51,2018-05
269,24,办公,2248.45,2018-05
270,6,办公,860.56,2018-05
271,136,办公,15424.73,2018-05
272,562,商业,39285.92,2018-06
273,29,商业,3258.96,2018-06
274,83,商业,9419.2,2018-06
275,76,商业,2772.23,2018-06
276,114,商业,6284.83,2018-06
277,154,商业,10873.28,2018-06
278,106,商业,6677.42,2018-06
279,119,住宅,8343.94,2018-06
280,6109,住宅,498619.96,2018-06
281,1145,住宅,102931.89,2018-06
282,938,住宅,64555.23,2018-06
283,1315,住宅,107969.6,2018-06
284,1272,住宅,103621.75,2018-06
285,1320,住宅,111197.55,2018-06
286,26,其他,1418.74,2018-06
