AVGACURATE,LIGHTVEH,AVGSPEED,LONGVEH,REC_TIME,HUGEVEH,MIDVEH,AVGHEADDIST,MINIVEH,AVGFLOW
8.1,1141,75,2126,"20-11月-17 12.00.00.000000000 上午",814,1434,0,5283,10798
9.4,870,56.9,2089,"21-11月-17 12.00.00.000000000 上午",735,1127,0,3761,8582
9.8,1568,79.4,2638,"22-11月-17 12.00.00.000000000 上午",1068,1892,0,8000,15166
5.3,1153,81.8,1377,"23-11月-17 12.00.00.000000000 上午",636,1272,0,5840,10278
4.3,858,74.8,1132,"24-11月-17 12.00.00.000000000 上午",515,962,0,3886,7353
2.8,437,52.7,788,"25-11月-17 12.00.00.000000000 上午",343,567,0,1738,3873
3.1,538,59,926,"26-11月-17 12.00.00.000000000 上午",440,684,0,2056,4644
1.8,296,32.5,496,"27-11月-17 12.00.00.000000000 上午",223,319,0,829,2163
1.3,118,16.8,309,"28-11月-17 12.00.00.000000000 上午",96,178,0,395,1096
0.8,114,12.6,222,"29-11月-17 12.00.00.000000000 上午",83,131,0,303,853
2.1,215,24.1,490,"30-11月-17 12.00.00.000000000 上午",173,291,0,763,1932
5.5,1038,80,1491,"01-12月-17 12.00.00.000000000 上午",608,1210,0,4576,8923
4.5,637,49.9,1209,"02-12月-17 12.00.00.000000000 上午",423,742,0,2770,5781
4,240,30.9,523,"03-12月-17 12.00.00.000000000 上午",144,267,0,985,2159
3.4,418,49.9,832,"04-12月-17 12.00.00.000000000 上午",308,497,0,1919,3974
3.1,243,37.4,734,"05-12月-17 12.00.00.000000000 上午",242,290,0,1139,2648
0,1,3.4,2,"06-12月-17 12.00.00.000000000 上午",0,0,0,13,16
0.2,1,3.4,11,"07-12月-17 12.00.00.000000000 上午",5,4,0,5,26
2.8,600,72.4,640,"08-12月-17 12.00.00.000000000 上午",330,652,0,3494,5716
2.3,294,34.9,623,"09-12月-17 12.00.00.000000000 上午",220,360,0,928,2425
1.4,157,24,407,"10-12月-17 12.00.00.000000000 上午",130,207,0,417,1318
1.4,189,25.7,397,"11-12月-17 12.00.00.000000000 上午",141,245,0,517,1489
1.4,115,30.4,252,"12-12月-17 12.00.00.000000000 上午",89,154,0,337,947
1.1,118,24.2,321,"13-12月-17 12.00.00.000000000 上午",114,176,0,296,1025
1.7,180,27.5,438,"14-12月-17 12.00.00.000000000 上午",172,239,0,562,1591
1.8,211,30.4,421,"15-12月-17 12.00.00.000000000 上午",165,252,0,529,1578
3.4,838,87.8,760,"16-12月-17 12.00.00.000000000 上午",392,844,0,4810,7644
2.3,596,89,514,"17-12月-17 12.00.00.000000000 上午",277,645,0,3776,5808
2,505,65.6,483,"18-12月-17 12.00.00.000000000 上午",247,506,0,2292,4033
2.1,542,81.3,506,"19-12月-17 12.00.00.000000000 上午",256,512,0,3076,4892
1.9,495,68.1,452,"20-12月-17 12.00.00.000000000 上午",261,543,0,2595,4346
1.8,215,30.6,525,"21-12月-17 12.00.00.000000000 上午",172,312,0,607,1831
0.8,104,18.6,219,"22-12月-17 12.00.00.000000000 上午",97,124,0,412,956
0.4,84,8.9,93,"23-12月-17 12.00.00.000000000 上午",41,64,0,167,449
1.2,266,39.7,298,"24-12月-17 12.00.00.000000000 上午",166,264,0,1602,2596
1.8,256,35.4,495,"25-12月-17 12.00.00.000000000 上午",206,313,0,682,1952
1.1,128,20,282,"26-12月-17 12.00.00.000000000 上午",104,163,0,404,1081
1.3,170,22.2,340,"27-12月-17 12.00.00.000000000 上午",120,185,0,500,1315
0.7,80,16.3,206,"28-12月-17 12.00.00.000000000 上午",71,120,0,162,639
1.3,204,34.4,333,"29-12月-17 12.00.00.000000000 上午",154,248,0,785,1724
2.4,390,46,689,"30-12月-17 12.00.00.000000000 上午",274,497,0,1354,3204
2.2,467,60.4,577,"31-12月-17 12.00.00.000000000 上午",267,549,0,2309,4169
2.1,200,20.9,497,"01-1月 -18 12.00.00.000000000 上午",161,266,0,626,1750
1.3,147,21,334,"02-1月 -18 12.00.00.000000000 上午",141,200,0,402,1224
1.2,168,22,296,"03-1月 -18 12.00.00.000000000 上午",131,196,0,678,1469
0.9,126,23.8,266,"04-1月 -18 12.00.00.000000000 上午",94,178,0,504,1168
1.8,241,29.9,521,"05-1月 -18 12.00.00.000000000 上午",183,296,0,617,1858
1.2,112,21.2,315,"06-1月 -18 12.00.00.000000000 上午",93,155,0,274,949
1.3,180,27.3,367,"07-1月 -18 12.00.00.000000000 上午",153,202,0,447,1349
2.2,567,59.1,515,"08-1月 -18 12.00.00.000000000 上午",246,598,0,3439,5365
2.9,628,76.4,719,"09-1月 -18 12.00.00.000000000 上午",338,747,0,3349,5781
1.7,363,56.9,478,"10-1月 -18 12.00.00.000000000 上午",203,418,0,1664,3126
2.3,449,50.7,572,"11-1月 -18 12.00.00.000000000 上午",242,482,0,2389,4134
1.8,339,40.3,447,"12-1月 -18 12.00.00.000000000 上午",171,397,0,1811,3165
2.2,255,27.8,414,"13-1月 -18 12.00.00.000000000 上午",159,265,0,1075,2168
1.4,142,17.4,385,"14-1月 -18 12.00.00.000000000 上午",135,210,0,543,1415
1.6,198,19.6,410,"15-1月 -18 12.00.00.000000000 上午",142,246,0,575,1571
1.1,150,19.8,286,"16-1月 -18 12.00.00.000000000 上午",125,185,0,487,1233
0.6,93,10.4,141,"17-1月 -18 12.00.00.000000000 上午",64,109,0,297,704
1,148,16.9,244,"18-1月 -18 12.00.00.000000000 上午",88,174,0,410,1064
2.2,93,12.8,286,"19-1月 -18 12.00.00.000000000 上午",78,120,0,370,947
2.2,218,26,444,"20-1月 -18 12.00.00.000000000 上午",157,280,0,672,1771
1.7,269,29.9,448,"21-1月 -18 12.00.00.000000000 上午",161,321,0,1048,2247
0.5,79,9.7,147,"22-1月 -18 12.00.00.000000000 上午",69,89,0,223,607
1.2,197,24,301,"23-1月 -18 12.00.00.000000000 上午",136,264,0,610,1508
2.8,524,55.4,751,"24-1月 -18 12.00.00.000000000 上午",290,572,0,2257,4394
1.8,254,33.2,524,"25-1月 -18 12.00.00.000000000 上午",179,327,0,831,2115
2.1,311,35,595,"26-1月 -18 12.00.00.000000000 上午",218,431,0,909,2464
2.8,241,36.2,720,"27-1月 -18 12.00.00.000000000 上午",173,315,0,782,2231
3.5,678,60,949,"28-1月 -18 12.00.00.000000000 上午",394,757,0,3057,5835
3,662,60.2,744,"29-1月 -18 12.00.00.000000000 上午",367,700,0,3423,5896
4.2,588,58.7,1054,"30-1月 -18 12.00.00.000000000 上午",433,802,0,2417,5294
2,397,45.8,414,"31-1月 -18 12.00.00.000000000 上午",223,407,0,2459,3900
3,489,57.7,734,"01-2月 -18 12.00.00.000000000 上午",319,629,0,2385,4556
3,603,67.8,793,"02-2月 -18 12.00.00.000000000 上午",356,626,0,3419,5797
1.5,341,45.5,312,"03-2月 -18 12.00.00.000000000 上午",190,384,0,2045,3272
1.3,274,27.3,309,"04-2月 -18 12.00.00.000000000 上午",168,300,0,1351,2402
1.4,337,40.1,303,"05-2月 -18 12.00.00.000000000 上午",166,362,0,2086,3254
1.9,355,29.2,551,"06-2月 -18 12.00.00.000000000 上午",245,366,0,1197,2714
2.1,255,27.8,474,"07-2月 -18 12.00.00.000000000 上午",161,300,0,704,1894
2.1,246,27.2,508,"08-2月 -18 12.00.00.000000000 上午",209,287,0,967,2217
1,139,23.9,279,"09-2月 -18 12.00.00.000000000 上午",116,175,0,481,1190
2.3,331,40,630,"10-2月 -18 12.00.00.000000000 上午",242,431,0,1261,2895
5.3,880,64.3,1364,"11-2月 -18 12.00.00.000000000 上午",593,972,0,3666,7475
3,484,48.7,862,"12-2月 -18 12.00.00.000000000 上午",313,594,0,2169,4422
0.5,60,10.9,140,"13-2月 -18 12.00.00.000000000 上午",69,104,0,253,626
1.2,118,13.5,258,"14-2月 -18 12.00.00.000000000 上午",73,144,0,520,1113
0.9,143,16.7,204,"15-2月 -18 12.00.00.000000000 上午",68,156,0,525,1096
0.4,0,1,19,"16-2月 -18 12.00.00.000000000 上午",2,4,0,11,36
4.2,423,45.2,682,"17-2月 -18 12.00.00.000000000 上午",294,496,0,1860,3755
0.9,115,22.9,264,"18-2月 -18 12.00.00.000000000 上午",110,170,0,298,957
1,139,19,252,"19-2月 -18 12.00.00.000000000 上午",86,173,0,488,1138
1.3,95,12.4,234,"20-2月 -18 12.00.00.000000000 上午",93,125,0,265,812
2.2,123,19.3,396,"21-2月 -18 12.00.00.000000000 上午",121,185,0,474,1299
4.2,529,44.3,844,"22-2月 -18 12.00.00.000000000 上午",325,546,0,2059,4303
2.6,303,37.9,670,"23-2月 -18 12.00.00.000000000 上午",233,355,0,1070,2631
2.5,251,26.6,499,"24-2月 -18 12.00.00.000000000 上午",170,311,0,1074,2305
4.3,589,44,1052,"25-2月 -18 12.00.00.000000000 上午",426,697,0,2456,5220
3.9,457,44.7,897,"26-2月 -18 12.00.00.000000000 上午",284,545,0,1727,3910
2.2,187,17.9,482,"27-2月 -18 12.00.00.000000000 上午",147,213,0,641,1670
0.8,63,10.9,217,"28-2月 -18 12.00.00.000000000 上午",61,89,0,191,621
0.6,64,7,153,"01-3月 -18 12.00.00.000000000 上午",42,71,0,123,453
2.2,158,16.9,476,"02-3月 -18 12.00.00.000000000 上午",137,221,0,641,1633
3,252,26.1,615,"03-3月 -18 12.00.00.000000000 上午",170,316,0,1173,2526
3.2,330,33.4,907,"04-3月 -18 12.00.00.000000000 上午",232,440,0,1044,2953
1.8,232,17,428,"05-3月 -18 12.00.00.000000000 上午",150,258,0,931,1999
3.2,576,42.7,808,"06-3月 -18 12.00.00.000000000 上午",300,625,0,3077,5386
2.9,503,37.9,655,"07-3月 -18 12.00.00.000000000 上午",282,533,0,2447,4420
8,1570,84.6,1914,"08-3月 -18 12.00.00.000000000 上午",871,1634,0,8446,14435
6.4,872,83.3,1254,"09-3月 -18 12.00.00.000000000 上午",560,1000,0,4379,8065
1.2,25,18.9,94,"10-3月 -18 12.00.00.000000000 上午",35,34,0,87,275
2,180,35,223,"11-3月 -18 12.00.00.000000000 上午",110,199,0,1065,1777
6.2,388,57.8,633,"12-3月 -18 12.00.00.000000000 上午",256,484,0,2084,3845
3.2,116,30.9,195,"13-3月 -18 12.00.00.000000000 上午",53,131,0,469,964
6.4,246,54.1,505,"14-3月 -18 12.00.00.000000000 上午",167,262,0,709,1889
4.7,121,59.7,276,"15-3月 -18 12.00.00.000000000 上午",85,132,0,374,988
6,141,44.6,417,"16-3月 -18 12.00.00.000000000 上午",106,198,0,814,1676
10.1,837,57.8,1588,"17-3月 -18 12.00.00.000000000 上午",547,974,0,3707,7653
13.8,623,57.8,1314,"18-3月 -18 12.00.00.000000000 上午",459,779,0,4369,7544
8.8,397,59.9,801,"19-3月 -18 12.00.00.000000000 上午",250,466,0,1821,3735
13.2,1304,74.4,2209,"20-3月 -18 12.00.00.000000000 上午",894,1610,0,7680,13697
8.7,597,50.4,907,"21-3月 -18 12.00.00.000000000 上午",386,697,0,3624,6211
3.7,155,26.9,382,"22-3月 -18 12.00.00.000000000 上午",122,212,0,822,1693
2.7,86,21.5,223,"23-3月 -18 12.00.00.000000000 上午",57,114,0,490,970
2.4,117,25.9,169,"24-3月 -18 12.00.00.000000000 上午",80,146,0,596,1108
3.4,157,21,265,"25-3月 -18 12.00.00.000000000 上午",90,191,0,586,1289
8.7,40,14.2,109,"26-3月 -18 12.00.00.000000000 上午",25,38,0,146,358
